features,k,n_samples,pos,neg,max_depth,min_samples_leaf,auc_loocv,acc_loocv,sens_loocv,spec_loocv,err
"diabetes_type,age,snap_sural_nerve,ienfd_per_mm",4,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,nis_ll,sas",4,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sas,ienfd_per_mm",4,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,duration_months,ienfd_per_mm",4,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,snap_sural_nerve,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sas,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,snap_sural_nerve,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,sas,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,duration_months,snap_sural_nerve,nis_ll",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,duration_months,snap_sural_nerve,sas",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,duration_months,snap_sural_nerve,npsi",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,duration_months,snap_sural_nerve,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,duration_months,nis_ll,sas",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,duration_months,sas,npsi",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,duration_months,sas,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,snap_sural_nerve,nis_ll,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,snap_sural_nerve,sas,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,snap_sural_nerve,npsi,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,nis_ll,sas,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sas,npsi,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,snap_sural_nerve,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,sas,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,duration_months,snap_sural_nerve,nis_ll",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,duration_months,snap_sural_nerve,sas",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,duration_months,snap_sural_nerve,npsi",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,duration_months,snap_sural_nerve,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,duration_months,nis_ll,sas",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,duration_months,sas,npsi",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,duration_months,sas,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,snap_sural_nerve,nis_ll,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,snap_sural_nerve,sas,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,snap_sural_nerve,npsi,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,nis_ll,sas,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sas,npsi,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,snap_sural_nerve",2,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,sex,snap_sural_nerve",4,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,snap_sural_nerve,sas",4,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,snap_sural_nerve,sas",4,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,duration_months,snap_sural_nerve,sas",4,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,snap_sural_nerve,nis_ll,sas",4,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,snap_sural_nerve,nis_ll,sas",4,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,sex,snap_sural_nerve,sas",5,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,duration_months,snap_sural_nerve,sas",5,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,snap_sural_nerve,nis_ll,sas",5,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,duration_months,snap_sural_nerve,sas",5,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,snap_sural_nerve,nis_ll,sas",5,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,snap_sural_nerve,nis_ll,sas",5,35,18,17,3,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,snap_sural_nerve,sas",4,35,18,17,3,3,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,snap_sural_nerve,sas",4,35,18,17,3,3,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,snap_sural_nerve,nis_ll,sas",4,35,18,17,3,3,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,snap_sural_nerve,nis_ll,sas",4,35,18,17,3,3,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,sex,snap_sural_nerve,sas",5,35,18,17,3,3,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,snap_sural_nerve,nis_ll,sas",5,35,18,17,3,3,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,snap_sural_nerve,nis_ll,sas",5,35,18,17,3,3,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,snap_sural_nerve,nis_ll,sas",5,35,18,17,3,3,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,snap_sural_nerve",2,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,snap_sural_nerve,sas",3,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,snap_sural_nerve,sas",3,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,sex,snap_sural_nerve",4,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,snap_sural_nerve,sas",4,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,snap_sural_nerve,sas",4,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,duration_months,snap_sural_nerve,sas",4,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,snap_sural_nerve,nis_ll,sas",4,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,snap_sural_nerve,sas",4,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,snap_sural_nerve,nis_ll,sas",4,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,sex,snap_sural_nerve,sas",5,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,duration_months,snap_sural_nerve,sas",5,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,snap_sural_nerve,nis_ll,sas",5,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,duration_months,snap_sural_nerve,sas",5,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,snap_sural_nerve,nis_ll,sas",5,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,hba1c_pct,nis_ll,sas,npsi",5,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,hba1c_pct,nis_ll,npsi,ienfd_per_mm",5,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,hba1c_pct,sas,npsi,ienfd_per_mm",5,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,duration_months,snap_sural_nerve,sas",5,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,snap_sural_nerve,nis_ll,sas",5,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,snap_sural_nerve,nis_ll,sas,ienfd_per_mm",5,35,18,17,4,4,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sas",2,35,18,17,4,3,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,sas",3,35,18,17,4,3,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,sas",3,35,18,17,4,3,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,sas",3,35,18,17,4,3,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,sas",3,35,18,17,4,2,0.8104575163398692,0.8857142857142857,1.0,0.7647058823529411,
"sex,hba1c_pct,nis_ll",3,35,18,17,2,4,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"snap_sural_nerve,hba1c_pct,nis_ll",3,35,18,17,2,4,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"hba1c_pct,nis_ll,npsi,ienfd_per_mm",4,35,18,17,2,4,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,hba1c_pct,nis_ll,npsi,ienfd_per_mm",5,35,18,17,2,4,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,hba1c_pct,nis_ll",3,35,18,17,2,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"snap_sural_nerve,hba1c_pct,nis_ll",3,35,18,17,2,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"hba1c_pct,nis_ll,sas,npsi,ienfd_per_mm",5,35,18,17,2,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"hba1c_pct,nis_ll,sas,npsi,ienfd_per_mm",5,35,18,17,2,2,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,hba1c_pct,nis_ll",3,35,18,17,3,4,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"snap_sural_nerve,hba1c_pct,nis_ll",3,35,18,17,3,4,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,hba1c_pct,nis_ll,npsi,ienfd_per_mm",5,35,18,17,3,4,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"hba1c_pct,nis_ll",2,35,18,17,3,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,duration_months,snap_sural_nerve,sas",4,35,18,17,3,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,sas,ienfd_per_mm,nf155_mean_nm",4,35,18,17,3,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,sas,ienfd_per_mm,nf186_mean_nm",4,35,18,17,3,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,diabetes_type,duration_months,snap_sural_nerve,sas",5,35,18,17,3,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,sex,duration_months,snap_sural_nerve,sas",5,35,18,17,3,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,age,sex,ienfd_per_mm",4,35,18,17,3,2,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,duration_months,snap_sural_nerve,sas",4,35,18,17,3,2,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"diabetes_type,duration_months,snap_sural_nerve,sas",4,35,18,17,3,2,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,diabetes_type,duration_months,snap_sural_nerve,sas",5,35,18,17,3,2,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,sex,duration_months,snap_sural_nerve,sas",5,35,18,17,3,2,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"diabetes_type,sex,duration_months,snap_sural_nerve,sas",5,35,18,17,3,2,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,hba1c_pct,nis_ll",3,35,18,17,4,4,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"snap_sural_nerve,hba1c_pct,nis_ll",3,35,18,17,4,4,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,sex,duration_months,snap_sural_nerve,ienfd_per_mm",5,35,18,17,4,4,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,hba1c_pct,nis_ll,npsi,ienfd_per_mm",5,35,18,17,4,4,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"hba1c_pct,nis_ll",2,35,18,17,4,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,sex,snap_sural_nerve",3,35,18,17,4,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,diabetes_type,duration_months,sas",4,35,18,17,4,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,sex,duration_months,sas",4,35,18,17,4,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,diabetes_type,sex,snap_sural_nerve,nis_ll",5,35,18,17,4,3,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,duration_months,snap_sural_nerve,sas,npsi",5,35,18,17,4,2,0.8104575163398692,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,hba1c_pct,nis_ll",3,35,18,17,2,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"diabetes_type,sex,duration_months,nf155_mean_nm",4,35,18,17,3,4,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"diabetes_type,sex,duration_months,nf186_mean_nm",4,35,18,17,3,4,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"diabetes_type,sex,duration_months,nf155_mean_nm,nf186_mean_nm",5,35,18,17,3,4,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"group,age,nis_ll,sas",4,35,18,17,3,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"diabetes_type,age,nis_ll,sas",4,35,18,17,3,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"age,snap_sural_nerve,hba1c_pct,nf155_mean_nm",4,35,18,17,3,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"age,snap_sural_nerve,hba1c_pct,nf186_mean_nm",4,35,18,17,3,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"sex,snap_sural_nerve,hba1c_pct,nf155_mean_nm",4,35,18,17,3,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"sex,snap_sural_nerve,hba1c_pct,nf186_mean_nm",4,35,18,17,3,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"snap_sural_nerve,hba1c_pct,sas,nf155_mean_nm,nf186_mean_nm",5,35,18,17,3,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"diabetes_type,sex,duration_months,nf155_mean_nm",4,35,18,17,4,4,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"diabetes_type,sex,duration_months,nf186_mean_nm",4,35,18,17,4,4,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"diabetes_type,sex,duration_months,nf155_mean_nm,nf186_mean_nm",5,35,18,17,4,4,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"group,duration_months,snap_sural_nerve,sas",4,35,18,17,4,3,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"group,nis_ll,ienfd_per_mm,nf155_mean_nm",4,35,18,17,4,3,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"group,nis_ll,ienfd_per_mm,nf186_mean_nm",4,35,18,17,4,3,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"diabetes_type,duration_months,snap_sural_nerve,sas",4,35,18,17,4,3,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"diabetes_type,sex,duration_months,snap_sural_nerve,nis_ll",5,35,18,17,4,3,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"diabetes_type,snap_sural_nerve,nis_ll,sas,ienfd_per_mm",5,35,18,17,4,3,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"age,snap_sural_nerve,hba1c_pct,nf155_mean_nm",4,35,18,17,4,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"age,snap_sural_nerve,hba1c_pct,nf186_mean_nm",4,35,18,17,4,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"sex,snap_sural_nerve,hba1c_pct,nf155_mean_nm",4,35,18,17,4,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"sex,snap_sural_nerve,hba1c_pct,nf186_mean_nm",4,35,18,17,4,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"age,duration_months,snap_sural_nerve,nis_ll,sas",5,35,18,17,4,2,0.8104575163398692,0.8,0.9444444444444444,0.6470588235294118,
"snap_sural_nerve,hba1c_pct,sas,nf155_mean_nm,nf186_mean_nm",5,35,18,17,4,2,0.8104575163398692,0.8,0.8333333333333334,0.7647058823529411,
"snap_sural_nerve,hba1c_pct,nis_ll",3,35,18,17,2,2,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"duration_months,npsi",2,35,18,17,3,3,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"diabetes_type,nf155_mean_nm",2,35,18,17,3,2,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"diabetes_type,nf186_mean_nm",2,35,18,17,3,2,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"duration_months,npsi",2,35,18,17,3,2,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"snap_sural_nerve,hba1c_pct,ienfd_per_mm",3,35,18,17,3,2,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"group,diabetes_type,nf155_mean_nm,nf186_mean_nm",4,35,18,17,3,2,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"diabetes_type,sex,nf155_mean_nm,nf186_mean_nm",4,35,18,17,3,2,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"sex,snap_sural_nerve,hba1c_pct,ienfd_per_mm",4,35,18,17,3,2,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"snap_sural_nerve,hba1c_pct,nis_ll,npsi",4,35,18,17,3,2,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"diabetes_type,sex,duration_months,ienfd_per_mm,nf155_mean_nm",5,35,18,17,4,4,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"diabetes_type,sex,duration_months,ienfd_per_mm,nf186_mean_nm",5,35,18,17,4,4,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"group,diabetes_type,duration_months,snap_sural_nerve,sas",5,35,18,17,4,3,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"group,sex,duration_months,snap_sural_nerve,sas",5,35,18,17,4,3,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"diabetes_type,sex,duration_months,snap_sural_nerve,sas",5,35,18,17,4,3,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"snap_sural_nerve,hba1c_pct,ienfd_per_mm",3,35,18,17,4,2,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"sex,snap_sural_nerve,hba1c_pct,ienfd_per_mm",4,35,18,17,4,2,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"snap_sural_nerve,hba1c_pct,nis_ll,npsi",4,35,18,17,4,2,0.8104575163398692,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"age,duration_months,snap_sural_nerve,nis_ll,sas",5,35,18,17,3,2,0.8104575163398692,0.7428571428571429,0.8333333333333334,0.6470588235294118,
"diabetes_type,sex,ienfd_per_mm,nf155_mean_nm",4,35,18,17,4,3,0.8104575163398692,0.7428571428571429,0.7222222222222222,0.7647058823529411,
"diabetes_type,sex,ienfd_per_mm,nf186_mean_nm",4,35,18,17,4,3,0.8104575163398692,0.7428571428571429,0.7222222222222222,0.7647058823529411,
"diabetes_type,nis_ll,nf155_mean_nm",3,35,18,17,4,2,0.8104575163398692,0.7428571428571429,0.7222222222222222,0.7647058823529411,
"diabetes_type,nis_ll,nf186_mean_nm",3,35,18,17,4,2,0.8104575163398692,0.7428571428571429,0.7222222222222222,0.7647058823529411,
"diabetes_type,duration_months,sas,nf155_mean_nm,nf186_mean_nm",5,35,18,17,3,3,0.8104575163398692,0.7142857142857143,0.6666666666666666,0.7647058823529411,
"group,duration_months,sas,nf155_mean_nm,nf186_mean_nm",5,35,18,17,3,2,0.8104575163398692,0.7142857142857143,0.6666666666666666,0.7647058823529411,
"diabetes_type,duration_months,sas,nf155_mean_nm,nf186_mean_nm",5,35,18,17,3,2,0.8104575163398692,0.7142857142857143,0.6666666666666666,0.7647058823529411,
nf155_mean_nm,1,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
nf186_mean_nm,1,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,nf155_mean_nm",2,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,nf186_mean_nm",2,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"snap_sural_nerve,nf155_mean_nm",2,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"snap_sural_nerve,nf186_mean_nm",2,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sas,nf155_mean_nm",2,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sas,nf186_mean_nm",2,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"nf155_mean_nm,nf186_mean_nm",2,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,snap_sural_nerve,nf155_mean_nm",3,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,snap_sural_nerve,nf186_mean_nm",3,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,sas,nf155_mean_nm",3,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,sas,nf186_mean_nm",3,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,nf155_mean_nm,nf186_mean_nm",3,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"snap_sural_nerve,sas,nf155_mean_nm",3,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"snap_sural_nerve,sas,nf186_mean_nm",3,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"snap_sural_nerve,nf155_mean_nm,nf186_mean_nm",3,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sas,nf155_mean_nm,nf186_mean_nm",3,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,snap_sural_nerve,sas,nf155_mean_nm",4,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,snap_sural_nerve,sas,nf186_mean_nm",4,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,snap_sural_nerve,nf155_mean_nm,nf186_mean_nm",4,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,sas,nf155_mean_nm,nf186_mean_nm",4,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"snap_sural_nerve,sas,nf155_mean_nm,nf186_mean_nm",4,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,snap_sural_nerve,sas,nf155_mean_nm,nf186_mean_nm",5,35,18,17,2,3,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
nf155_mean_nm,1,35,18,17,2,2,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
nf186_mean_nm,1,35,18,17,2,2,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,nf155_mean_nm",2,35,18,17,2,2,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sex,nf186_mean_nm",2,35,18,17,2,2,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"sas,nf155_mean_nm",2,35,18,17,2,2,0.8088235294117647,0.8285714285714286,0.8888888888888888,0.7647058823529411,
